업소명,업종,업태,도로명주소
교동시골밥상,일반음식점,한식,강원특별자치도 강릉시 강릉대로269번길 17(교동)
교동식탐,일반음식점,한식,강원특별자치도 강릉시 솔올로5번길 18-4(1층 교동)
교동집,일반음식점,한식,강원특별자치도 강릉시 솔올로5번길 18-6(1층 교동)
교동칼국수,일반음식점,한식,강원특별자치도 강릉시 강릉대로 195(교동)
교동한식,일반음식점,한식,강원특별자치도 강릉시 화부산로 46(1층 교동)
교리단초밥,일반음식점,한식,강원특별자치도 강릉시 강릉대로194번길 9(1층 임당동)
교오복식당,일반음식점,한식,강원특별자치도 강릉시 토성로191번길 15(교동)
교항면옥,일반음식점,분식,강원특별자치도 강릉시 주문진읍 연주로 263
교항식당,일반음식점,한식,강원특별자치도 강릉시 주문진읍 신리천로 96
구구족,일반음식점,한식,강원특별자치도 강릉시 경강로 2067(1층 성내동)
구석,일반음식점,한식,강원특별자치도 강릉시 율곡초교길 17(교동)
구인당식당,일반음식점,한식,강원특별자치도 강릉시 주문진읍 시장길 31
구정휴게소 구정반상,일반음식점,한식,강원특별자치도 강릉시 구정면 동해고속도로 345
구정막국수,일반음식점,한식,강원특별자치도 강릉시 구정면 구정중앙로 91
구정쌈밥,일반음식점,한식,강원특별자치도 강릉시 구정면 봉양2길 29-12(1층)
국민낙곱새강릉점,일반음식점,한식,강원특별자치도 강릉시 토성로 125(용강동)
국밥가,일반음식점,한식,강원특별자치도 강릉시 성덕포남로188번길 25(포남동)
국밥생각,일반음식점,한식,강원특별자치도 강릉시 율곡초교길39번길 6(교동)
국밥참맛있는집강릉유천점,일반음식점,한식,강원특별자치도 강릉시 선수촌로 64-19(101호 홍제동)
국밥참맛있는집강릉포남점,일반음식점,한식,강원특별자치도 강릉시 강릉대로 406-1(1층 포남동)
국보삼계탕,일반음식점,한식,강원특별자치도 강릉시 토성로191번길 7(옥천동)
국수나루,일반음식점,한식,강원특별자치도 강릉시 토성로 193(옥천동)
국수나무강릉교동점,일반음식점,분식,강원특별자치도 강릉시 솔올로 34(교동)
국수나무강릉유천점,일반음식점,분식,강원특별자치도 강릉시 선수촌로 79-15(110호 홍제동)
국수나무주문진점,일반음식점,한식,강원특별자치도 강릉시 주문진읍 주문로 78(1층)
국수마니아,일반음식점,한식,강원특별자치도 강릉시 옥가로50번길 2(옥천동)
국수마을,일반음식점,분식,강원특별자치도 강릉시 옥천로19번길 32(옥천동)
국수와파전,일반음식점,분식,강원특별자치도 강릉시 가작로 24(1층 교동)
국시집,일반음식점,분식,강원특별자치도 강릉시 팔송길35번길 30(삼익비치맨션 상가 106호 송정동)
굴다리돌솥밥,일반음식점,한식,강원특별자치도 강릉시 주문진읍 매맥이길 36(1층)
굴사랑,일반음식점,한식,강원특별자치도 강릉시 가작로 16-1(교동)
궁전구내식당,일반음식점,한식,강원특별자치도 강릉시 남구길23번길 9(포남동)
궁전사우나구내분식,일반음식점,분식,강원특별자치도 강릉시 남구길23번길 9(포남동)
권오복분틀메밀국수,일반음식점,분식,강원특별자치도 강릉시 율곡로 2713(노암동)
귀자네순대국밥,일반음식점,한식,강원특별자치도 강릉시 주문진읍 신리천로 10(19동 101호)
규미네소머리국밥,일반음식점,한식,강원특별자치도 강릉시 연곡면 남평길 71
그날그날먹거리,일반음식점,한식,강원특별자치도 강릉시 옥천로 48(동부시장 1층 22호 옥천동)
그레이시스푼,일반음식점,한식,강원특별자치도 강릉시 성산면 공제로359번길 49-2
그리운바다성산포,일반음식점,한식,강원특별자치도 강릉시 강릉대로 148(교동)
그린피스,일반음식점,한식,강원특별자치도 강릉시 경포로463번길 37(1층 안현동)
그옛날순두부,일반음식점,한식,강원특별자치도 강릉시 초당순두부길 57(초당동)
금강식당,일반음식점,한식,강원특별자치도 강릉시 회산로408번길 13-3(홍제동)
금광리소양가든,일반음식점,한식,강원특별자치도 강릉시 구정면 금평로 589
금노다지,일반음식점,한식,강원특별자치도 강릉시 경강로 2198(포남동)
금당,일반음식점,한식,강원특별자치도 강릉시 성산면 구산길 87(1층)
금성해장국,일반음식점,한식,강원특별자치도 강릉시 남문길 27-1(남문동)
금성회관강릉교동점,일반음식점,한식,강원특별자치도 강릉시 솔올로5번길 40-5(1층 교동)
금정식당,일반음식점,한식,"강원특별자치도 강릉시 임영로155번길 6(서부시장 101,102,103,104호 용강동)"
금진향토식당,일반음식점,한식,강원특별자치도 강릉시 옥계면 금진뒷길 92
금천칼국수,일반음식점,분식,강원특별자치도 강릉시 강릉대로 445(포남동)
금학분식,일반음식점,분식,강원특별자치도 강릉시 사천면 방동길 43
금홍대게,일반음식점,한식,강원특별자치도 강릉시 주문진읍 주문로 150(부두시장)
금화식당,일반음식점,한식,강원특별자치도 강릉시 강릉대로 337-4(1층 포남동)
기대만족강릉점,일반음식점,한식,강원특별자치도 강릉시 화부산로 88-3(1층 교동)
기동이네장칼국수,일반음식점,분식,강원특별자치도 강릉시 강릉대로 461(포남동)
기사문&강릉락강정,일반음식점,한식,강원특별자치도 강릉시 정원로 78-22(교동)
기와집닭칼국수,일반음식점,분식,강원특별자치도 강릉시 구정면 회산로 88-12
기와집흑염소,일반음식점,한식,강원특별자치도 강릉시 경강로2245번길 5(포남동)
길목푸드,일반음식점,분식,강원특별자치도 강릉시 화부산로 101-1(교동)
길손,일반음식점,한식,강원특별자치도 강릉시 난설헌로78번길 42-3(포남동)
김가네식당,일반음식점,한식,강원특별자치도 강릉시 강중길 4(노암동)
김가네식당강남점,일반음식점,한식,강원특별자치도 강릉시 모산로 367(노암동)
김명자낙지마당강릉점,일반음식점,한식,강원특별자치도 강릉시 성덕로 271(입암동)
김밥나라주문진점,일반음식점,분식,강원특별자치도 강릉시 주문진읍 시장길 30(1층)
김밥천국서지골점,일반음식점,한식,강원특별자치도 강릉시 원대로 107(교동)
김밥천국임당점,일반음식점,분식,강원특별자치도 강릉시 경강로 2098(임당동)
